,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_temp,workout_type
0,2,Morning Stand Up Paddling,10759.4,5336,12034,9.6,StandUpPaddling,StandUpPaddling,8079222349,2022-11-06T15:45:06Z,2022-11-06T07:45:06Z,(GMT-08:00) America/Los_Angeles,-28800.0,,,,1,7,0,2,0,False,False,False,False,everyone,False,,"[32.77797047048807, -117.21937517635524]","[32.777417516335845, -117.21646707504988]",2.016,4.576,47.3,True,89.9,141.0,False,True,5.0,0.0,8648447447.0,8648447447,garmin_ping_246064107339,False,0,0,False,9.0,10993294,1,a8079222349,qx`gElgmjUR[`@{@z@kAbAqBn@}Ar@yAlAuBJYl@aCd@{A@UE]GGKB]p@Xo@@AQh@gAfCkB|CaAfB]z@oBfDi@z@cApBkAnBUb@G\DLj@B^SV[DSDGJWt@sAV[`@[Z]tCsHLa@E_@UW[GWLSX[z@e@t@UXk@Zq@G?GI?BMAEA@CEAWLcAP`DAKJK`@WlAmARKfA]t@aAPQJSTSXORWb@m@`AeAL[\c@RKJQJORg@NQp@g@VUj@YPSb@m@RSNWN{@Au@GO?SGWUYSKIKMEK@}@\_@Dg@@q@Hk@LWLq@J[N]HiAHOFGN?HADFbAf@|AP^RXh@d@FJ@^Q^KJEHEAMDsAnCm@~AMLQXGTa@t@c@~@UVg@|@sAxCYZQ\YbA_@xB@NFHF?BMHQLOjBwAJKpAeCr@}@xAyBr@}@v@aBjAsCb@k@JWHYH[?_@C_@I]_@o@QI]AYDKLMCGIINSn@E@EAEDqAlEqClGy@zAa@|@U\kBzDm@hA?FEFBFHFBGBPDHLFAEKICS?@@?C@?@?GB?AA?B@E@BI_@?YR\VHRCRSLYRUVUr@e@f@s@`AqB~AgCxAoC|@iCVy@lAeD@[ESKGW?E@CDCHJx@IVHUFEGCYJHe@CCm@bAoApC]`AiAtB_AvBUb@[b@Qd@gApBq@hA_@|@cAlBLG@KE?NLF@PCNINOjAqBdAsBx@oAn@uAfAoBx@mAfB{BbAoB\y@H_@A_@GQSKM?[T?B@WCGCAy@hBg@jAiBlDc@dAmIrO[n@JEE@CDB?AB?GFC?DCA?@@AAC@?A?A@@?BEABBADK?UEI^CRKxBmBbCmBpA}Bf@q@b@u@nBgERo@j@yAF_@D_@G]MQOIG?IBY`@F]IECBoBvEsA`Cw@jBm@lAiAfBUb@i@jAkAbDWb@SRMBVIICLEVSI^DPJHR?VMPSLYX}@v@yAj@u@n@k@~@iB^i@zAiCt@iBl@qAr@{BF[IWUUICY@MHOP?KDIb@e@CIBA?GI?CDs@~AcAlBgAbCg@bA,2,,
1,2,vibing,12467.2,4650,4650,0.0,StandUpPaddling,StandUpPaddling,8074728524,2022-11-06T00:02:48Z,2022-11-05T17:02:48Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,12,0,1,0,False,False,False,False,everyone,False,,"[32.78566380031407, -117.25001094862819]","[32.78495351783931, -117.25031026639044]",2.681,4.065,45.0,True,143.8,166.0,False,True,4.1,3.1,8643260796.0,8643260796,garmin_ping_245958039200,False,0,0,False,48.0,10993294,1,a8074728524,_nbgExfsjUMMAMP[l@i@|@gARSZKzDk@zDu@jAYz@W~EgAhBYdCq@vBcAf@KpBo@l@KfBc@hA_@vAs@fBg@dDwATIpBc@fAa@dDwAz@Ur@WtBa@VIl@e@RKZG~@It@Qx@_@p@c@jBe@^A~@B|@JXHbAd@VBfAl@r@Z|DlAZP^L|@T|@P^AhBS`@Cv@@XClARZ@jAXn@@VFjANv@N\Bz@Xp@HjAV^DvAFZFbCx@~Av@\d@bAlBJXHZ^lCLlBJ^TbB\vEDZJrBRbBB\@v@XlCDbAJtAAZDx@^~CTvDZzBDtAVdBBZAx@h@zCB|AYv@?XBZR`At@|BF\@^C\_@hAm@dAGP@HJL@b@Pr@`@z@xAjBl@f@rCvBz@nAZx@PXj@hBd@pAd@~AN|@D`@\pBXvBDfA^~CBfAHv@@jAAf@E^[`BE\SnA?b@@`@F`@TdARjAMhCAl@K|@?\PfC?~AJ`BC`APvEGVBTH@PILc@SwAEKKIWg@U[We@EkAG_@e@s@M]D[SaA?KLSXOFQBa@CgALoAJgB?mAG{@IuB?qAEaAAeBa@iDEcCa@qCYiASaBK{Aa@wCAa@OiBOkA]gBGiBc@}EKyCSuB?i@Ek@YuACg@HcAFwBGg@Mg@Sa@YeAEg@?w@Ae@i@cDMgB_AmIi@cDMuASwAGuAOuBi@aDi@wBGg@WaDQoA?g@Ek@WwA[mAu@cBu@}Ai@{@[[oCcBmDeAuAi@w@QuCi@uAQeCUyCm@}AQwBc@wBu@yA[{@Q_D[_@Os@U_AO[MaBI_@A]ByEt@u@Fs@LsEjAwAd@}AZgDrA}@T_AP{@VyAh@a@RuAf@[NqEtAmAn@q@XwBj@uBr@GDUFa@Bw@LwAd@sAVgD|@s@XYDu@PqC\y@PqBf@gBl@oAh@_Aj@]b@QXu@fBUn@EZC\?RRz@,2,,
2,2,Lunch Weight Training,0.0,1864,1864,0.0,WeightTraining,WeightTraining,8070014797,2022-11-04T18:16:26Z,2022-11-04T11:16:26Z,(GMT-08:00) Mexico/BajaNorte,-25200.0,,,,0,2,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,True,78.3,106.0,False,True,,,8637904655.0,8637904655,garmin_ping_245849984173,False,0,0,False,2.0,10993294,1,a8070014797,,2,,
3,2,Morning Stand Up Paddling,9044.5,4126,4803,0.0,StandUpPaddling,StandUpPaddling,8070014391,2022-11-04T13:41:29Z,2022-11-04T06:41:29Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,2,0,1,0,False,False,False,False,everyone,False,,"[32.77680027298629, -117.21626976504922]","[32.7773714158684, -117.21690578386188]",2.192,3.802,28.8,True,83.8,132.0,False,True,3.0,0.0,8637904158.0,8637904158,garmin_ping_245849966210,False,0,0,False,6.0,10993294,1,a8070014391,sr`gEzrljUZq@~@uATUTQXOzBw@lD}A`@Ul@k@PYXy@Ng@Ba@C_@M]SSYM[C[?[BsATw@Ho@LuAf@w@T_Dr@]D[La@\[HgALmCR{Cj@U@q@EmBa@a@G_BCUHEJCTBNVRTDT?tDO`CAx@@|@HpBFzALt@LZNTXJ^@b@CbCGx@YhBSt@u@`BQVa@`@S`@a@vAg@tAG^@b@BHRVVLZCXORWr@wAlEoFJQj@oA\g@pDeEt@_AzA_BR[|@mCz@{BF[?]Ca@IYSUWOa@Kg@Ag@Jy@ZsAr@wAd@qBb@]NQ\W|@CX?`@CXSxASdAaBbG]bBM^Q\SVSHI?GEBF\THLDJAb@f@]v@_@bAi@hCmAlAs@fB{@b@W`@YVWbA{A`AgAP[x@cCTcARqBEk@I_@Q]SSm@c@e@Q]E_@A_@BoDr@qANm@Bc@JIFWXIRId@C`@ApAKbAOxAw@nFSt@]~@c@jBIRKNKDK?OIJHV\N[PSPM|By@`Bg@VM~@q@j@g@bDkDdBwB\i@^y@J_@N[RcAJyA?_@MYUYe@WYKw@ESPUByA`@Y@{@N}A\IHu@XiC|@_AL]@{ANyAVe@Ns@\YL{@To@Fs@BoCEwBGyDBcBIwAOm@Om@S{Aw@u@UQBOHGLMb@EZA^@^JXNPNFZDt@I\?p@Ld@?rBJhDb@jEP|@Ex@Mp@_@jA{@r@Uv@MdCSxB_@l@Mh@O^Gd@FTNHLJh@?PYfEIlBMdAm@dC,2,,
4,2,gust busters,8799.8,4156,4180,0.0,StandUpPaddling,StandUpPaddling,8062778186,2022-11-03T13:36:13Z,2022-11-03T06:36:13Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,12,0,1,0,False,False,False,False,everyone,False,,"[32.76966174133122, -117.24260771647096]","[32.78492116369307, -117.2501119505614]",2.117,5.323,44.2,True,97.0,146.0,False,True,4.1,3.1,8629735845.0,8629735845,garmin_ping_245639144621,False,0,0,False,9.0,10993294,1,a8062778186,aa_gEt`rjUNBX@LGDGCc@FUBETELON?p@TjAPp@Nl@Dv@LfBRbDv@~AXlAd@^RnBd@pAR~Aj@p@Pd@Gb@?NDd@P`@Vl@h@f@X\`@n@b@n@l@f@t@LZVp@Fj@^|AJv@\jCDjAJp@@Z\|AH|BV`BD~@TdAHt@Lb@BRJpCVfB?z@ZbBDf@Bn@XdALn@DlBXrABR?d@JnAXxCBJLBREVKJQQ_A@aAA}@J_B?cDAo@Gm@Mk@M_BCs@YmB?g@SiBCg@Ec@YkAYuDaA}E]}BIoAOkAQeAMiACm@Bm@YaAUUSABGCGK@CHJHDH@PAACFYbBNdBBx@TdBBn@Ct@PpBAXV|BVhAD\D|@BRCnAPr@d@vCRx@Nv@B\J\H^J~Aj@bCDtAHd@@PFVFNTrBDbBHt@CLI@GAKGMWKo@Ag@OcCGgFKkCMiBIgDc@oEC{BQ}@M}BYoBKc@MgBG}AE]w@cC?wAA[Gi@Ou@Me@YUSU]y@YYg@]UUWGeBs@aB_@u@?mBMUCkBe@SC[Ce@Bo@GY?WGg@QeAMk@O{@Gu@@o@IaAWq@EWIc@Um@WWE[?[E{Bg@sA@wAGYGi@c@q@_@oAY_AO{ACw@Dw@R]DsBJg@L_C\]N_Cf@wAPeBJa@Hc@LaAJq@LW?eAJoAXqBp@UBgBj@i@TQJiA^mAd@u@`@eARa@BqAXm@DeA\uBj@YPsAd@QBu@Ru@^i@l@]Xa@LgAt@sAx@s@n@QJUFaAL_@V}@`@o@Pi@Fe@Pc@b@aAjA_@~@KNERGn@?TDTJR,2,,
5,2,feelum,9374.6,3612,3612,0.0,StandUpPaddling,StandUpPaddling,8060595103,2022-11-03T00:50:01Z,2022-11-02T17:50:01Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,6,0,1,0,False,False,False,False,everyone,False,,"[32.78494932688773, -117.25028486922383]","[32.78486894443631, -117.25004590116441]",2.595,4.177,36.3,True,133.7,159.0,False,True,4.1,3.0,8627265798.0,8627265798,garmin_ping_245571043534,False,0,1,False,19.0,10993294,1,a8060595103,mmbgEnjsjUKeAB]H[ZuAN_@P[d@c@TIpBi@`DsA~DgAtBaAbBo@jCu@rAe@lBeAx@]bCs@xFmBtA]rAe@lCs@dEyArCs@jDe@pCe@lBk@xCo@tB_@z@Kz@A\@zAN`H`AbAJXADIDQRMVCRBb@Fx@RlC\zBb@t@PdDf@t@PnAb@~A`Ap@VnCd@tA^tAf@pAn@dBfAn@j@n@v@^v@H`@Lz@p@pHP~@R|AD`Ar@tFBxAVpCFvAx@jGDbAJz@ZnBFr@@lAHv@HXNJ@DDP@~@Ht@l@~I@^Fr@FvBRnBAZIb@@LLDF?FMFmBA[DoA?qAG_@M_BE{AWcEGoCSqD?mAOwBIgCS}C@e@AgASqCAsAM}AKe@]yCe@aDa@sBgAwGOq@c@kASc@a@U]a@mAqBiA_AWQo@U_AOgEoAmCi@cLaBwBYwCWqAE{CUaD_@gB[cBImA@u@DwF`@uAXWJu@Nu@V{Bn@gATcCXkCPgCGw@BmAPMAiALuADoARmAZsBHo@Js@Bs@NgA\mB\aA^mBv@m@ZoCfAiBf@}Bf@UJwA|@}@d@}AfA{@x@cAzAa@p@wAxCOv@IjBD\JZPX,2,,
6,2,test flight,9048.0,4848,5610,4.3,StandUpPaddling,StandUpPaddling,8057859801,2022-11-02T13:02:42Z,2022-11-02T06:02:42Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,15,3,2,0,False,False,False,False,everyone,False,,"[33.623587070032954, -117.89280116558075]","[33.62525423057377, -117.89307575672865]",1.866,4.111,80.0,True,94.9,148.0,False,True,3.1,-1.2,8624195194.0,8624195194,garmin_ping_245506561198,False,0,1,False,9.0,10993294,1,a8057859801,_}elEv_qnUp@P~Bz@RTN\H`@f@hCNnA\bDBjB?|AXfADhATfA?~@I|CBlAEhADx@Iv@HYIrAPlBNp@Rn@b@p@f@t@p@r@rAvA`Az@XNZJt@^lBnAl@Tf@L^PvC~Al@Rf@\LD~APt@NXHjAf@`@JL@h@YP?pA`@z@d@VHbBR~BGx@MrBYx@]hAEHMl@WFGJO?GC?FMx@YvBcAdB}A|@i@rEsDxAcATS|@cANIj@m@XSPYZ[BGE?BC\k@JYn@s@LYlAeBpAyBxAcC~AeDn@aARg@ZeAbAqDHUb@y@b@qACDCeABs@Lk@Vo@`@i@Je@CD?XPQJSQWSPINMj@{@pCiAvCu@xBmBdEUb@_BvBc@x@mAtAOZ?VJNP?NQAYKOMEQ@MFONNQSEO@SF[PFEHS_@n@}@hCE^D\RPR?PERKvAcAT[BICYOWi@m@QKM?k@XQNQTc@TsAdBi@f@i@l@_AzAy@dAq@bAcAvAs@~@_A|@_B|Bi@j@eBnAwAtASPe@N{Bd@kDfAcCf@[Bg@Cu@KyBQwAWSI_@UuB[B@e@NM@}@GIAMMIC_AO]Kq@a@}@_@o@SeAq@eCsAkBkA{@q@uF_GMSGQCYOm@AYh@gCFi@FwBCmC@wAGy@GkA_@sD@_@HgAAwADy@Ag@c@gCSq@g@kAy@oASU]UqB_Ao@Q_AU}@a@aBYqA_@,2,,
7,2,pergatory,13000.0,3600,3600,0.0,Workout,Workout,8053854844,2022-11-01T16:48:09Z,2022-11-01T09:48:09Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,8,0,1,0,False,False,True,False,everyone,False,,[],[],3.611,0.0,,False,,,False,False,,,,,,False,0,1,False,,10993294,1,a8053854844,,2,,
8,2,goog mornig,8610.0,4243,5683,3.0,StandUpPaddling,StandUpPaddling,8053087623,2022-11-01T13:37:45Z,2022-11-01T06:37:45Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,8,0,2,0,False,False,False,False,everyone,False,,"[32.77312371879816, -117.21221158280969]","[32.77756579220295, -117.2169460169971]",2.029,3.622,31.3,True,73.1,106.0,False,True,3.8,0.0,8618813032.0,8618813032,garmin_ping_245372195758,False,0,0,False,5.0,10993294,1,a8053087623,ko`gEz_ljUe@@c@HuBNuEt@m@Bk@?a@FeA?Y@[VUBg@AE@y@?g@EuBA}@GgDUuAOo@OgBWcDw@u@UmEaAcAMoHMuBGy@@wFIWBOPGX@VLRRH|A?hFNv@FxAAjALfAVdDfAvFvAh@Pp@VbBh@bAPhC^rGb@lEExBWnCMf@Gf@?r@FvALn@Jn@TtAv@f@d@J`@A\M`@OTa@XGLKb@WDU?SA[IBHBNBA?FDJ?RCPRW`DkGNWRAHHFXCN@LAX{CpGyG`MeBrC?PDHD@HCJI@WFG\w@\s@bA_B`@u@|AwDfB{Dr@kBx@eB^cAd@c@JOBIGOCACBMf@Yv@AJI\Ob@m@xAu@xAgBfEu@xAi@r@a@x@c@p@IZw@~Ai@z@OZBRDFLAFOB@A@?FDEz@oAt@aAn@o@bA_BvB_Ef@oAn@cAf@cAx@eAj@qAFq@EWS_AMQOMSKk@Gm@MwA_@a@QG@GFCJ?BHHXJt@Jv@BRPXf@@PEV?JgAnCcCpFgBdDkD~Gi@x@ATHJFBDA@EBA@]BGd@u@v@}Ax@qAP}@Fi@N_@l@g@NSj@e@JOZQj@w@Bu@Nk@fAeCR[n@oBDWCKMKE?C@GN[z@CP@CmAhDU^_@v@SZ]x@UZ,2,,
9,2,spajetti,10080.8,4510,4510,0.0,StandUpPaddling,StandUpPaddling,8050368433,2022-11-01T00:45:41Z,2022-10-31T17:45:41Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,11,0,1,0,False,False,True,False,everyone,False,,[],[],2.235,0.0,,False,,,False,False,,,,,,False,0,2,False,,10993294,1,a8050368433,,2,,
